sample_number	timepoint	treatment	replicate	fwd	rev
1	T1	Matoaka	1	V350357263_L03_1_1.fq.gz	V350357263_L03_1_2.fq.gz
2	T1	Matoaka	2	V350357263_L03_2_1.fq.gz	V350357263_L03_2_2.fq.gz
3	T1	Matoaka	3	V350357263_L03_3_1.fq.gz	V350357263_L03_3_2.fq.gz
4	T1	Control	1	V350357263_L03_4_1.fq.gz	V350357263_L03_4_2.fq.gz
5	T1	Control	2	V350357263_L03_5_1.fq.gz	V350357263_L03_5_2.fq.gz
6	T1	Control	3	V350357263_L03_6_1.fq.gz	V350357263_L03_6_2.fq.gz
7	T3	Matoaka	1	V350357263_L03_7_1.fq.gz	V350357263_L03_7_2.fq.gz
8	T3	Matoaka	2	V350357263_L03_8_1.fq.gz	V350357263_L03_8_2.fq.gz
9	T3	Matoaka	3	V350357263_L03_9_1.fq.gz	V350357263_L03_9_2.fq.gz
10	T3	Control	1	V350357263_L03_10_1.fq.gz	V350357263_L03_10_2.fq.gz
11	T3	Control	2	V350357263_L03_11_1.fq.gz	V350357263_L03_11_2.fq.gz
12	T3	Control	3	V350357263_L03_12_1.fq.gz	V350357263_L03_12_2.fq.gz
13	T4	Matoaka	1	V350357263_L03_13_1.fq.gz	V350357263_L03_13_2.fq.gz
14	T4	Matoaka	2	V350357263_L03_14_1.fq.gz	V350357263_L03_14_2.fq.gz
15	T4	Matoaka	3	V350357263_L03_15_1.fq.gz	V350357263_L03_15_2.fq.gz
16	T4	Control	1	V350357263_L03_16_1.fq.gz	V350357263_L03_16_2.fq.gz
17	T4	Control	2	V350357263_L03_17_1.fq.gz	V350357263_L03_17_2.fq.gz
18	T4	Control	3	V350357263_L03_18_1.fq.gz	V350357263_L03_18_2.fq.gz
